income;percentage;tax
80200;8.3850;6724.75
80300;8.3924;6739.10
80400;8.3995;6753.20
80500;8.4069;6767.55
80600;8.4142;6781.85
80700;8.4216;6796.25
80800;8.4290;6810.65
80900;8.4362;6824.90
81000;8.4436;6839.30
81100;8.4509;6853.70
81200;8.4584;6868.20
81300;8.4657;6882.60
81400;8.4730;6897.00
81500;8.4801;6911.30
81600;8.4877;6925.95
81700;8.4950;6940.40
81800;8.5024;6954.95
81900;8.5096;6969.35
82000;8.5171;6984.00
82100;8.5242;6998.35
82200;8.5317;7013.05
82300;8.5390;7027.60
82400;8.5464;7042.25
82500;8.5537;7056.80
82600;8.5610;7071.40
82700;8.5684;7086.05
82800;8.5757;7100.70
82900;8.5830;7115.30
83000;8.5905;7130.10
83100;8.5978;7144.75
83200;8.6052;7159.55
83300;8.6123;7174.05
83400;8.6198;7188.90
83500;8.6270;7203.55
83600;8.6346;7218.55
83700;8.6417;7233.10
83800;8.6490;7247.85
83900;8.6564;7262.70
84000;8.6637;7277.50
84100;8.6711;7292.40
84200;8.6785;7307.30
84300;8.6858;7322.15
84400;8.6932;7337.05
84500;8.7005;7351.90
84600;8.7078;7366.80
84700;8.7152;7381.75
84800;8.7225;7396.70
84900;8.7297;7411.50
85000;8.7371;7426.55
85100;8.7446;7441.65
85200;8.7517;7456.45
85300;8.7592;7471.60
85400;8.7665;7486.60
85500;8.7738;7501.60
85600;8.7812;7516.70
85700;8.7885;7531.75
85800;8.7959;7546.90
85900;8.8032;7561.95
86000;8.8105;7577.05
86100;8.8180;7592.30
86200;8.8252;7607.30
86300;8.8324;7622.35
86400;8.8398;7637.60
86500;8.8474;7653.00
86600;8.8545;7668.00
86700;8.8619;7683.25
86800;8.8692;7698.45
86900;8.8766;7713.75
87000;8.8839;7729.00
87100;8.8912;7744.25
87200;8.8986;7759.60
87300;8.9060;7774.95
87400;8.9132;7790.15
87500;8.9207;7805.60
87600;8.9279;7820.85
87700;8.9354;7836.35
87800;8.9427;7851.70
87900;8.9501;7867.15
88000;8.9574;7882.50
88100;8.9646;7897.80
88200;8.9719;7913.20
88300;8.9793;7928.70
88400;8.9867;7944.25
88500;8.9940;7959.70
88600;9.0015;7975.35
88700;9.0099;7991.80
88800;9.0185;8008.45
88900;9.0270;8025.00
89000;9.0354;8041.50
89100;9.0438;8058.05
89200;9.0524;8074.75
89300;9.0606;8091.10
89400;9.0693;8107.95
89500;9.0777;8124.55
89600;9.0863;8141.30
89700;9.0945;8157.75
89800;9.1032;8174.65
89900;9.1116;8191.35
90000;9.1200;8208.00
90100;9.1286;8224.85
90200;9.1371;8241.65
90300;9.1455;8258.40
90400;9.1541;8275.30
90500;9.1622;8291.80
90600;9.1710;8308.95
90700;9.1794;8325.70
90800;9.1878;8342.50
90900;9.1964;8359.55
91000;9.2048;8376.35
91100;9.2132;8393.25
91200;9.2219;8410.35
91300;9.2303;8427.25
91400;9.2385;8444.00
91500;9.2471;8461.10
91600;9.2555;8478.05
91700;9.2640;8495.10
91800;9.2727;8512.35
91900;9.2810;8529.25
92000;9.2895;8546.35
92100;9.2979;8563.35
92200;9.3063;8580.40
92300;9.3149;8597.65
92400;9.3233;8614.75
92500;9.3317;8631.80
92600;9.3402;8649.05
92700;9.3486;8666.15
92800;9.3570;8683.30
92900;9.3656;8700.65
93000;9.3741;8717.90
93100;9.3825;8735.10
93200;9.3911;8752.50
93300;9.3995;8769.75
93400;9.4080;8787.05
93500;9.4164;8804.35
93600;9.4248;8821.60
93700;9.4335;8839.20
93800;9.4418;8856.40
93900;9.4502;8873.75
94000;9.4587;8891.20
94100;9.4673;8908.75
94200;9.4757;8926.10
94300;9.4842;8943.60
94400;9.4926;8961.00
94500;9.5012;8978.65
94600;9.5096;8996.10
94700;9.5181;9013.65
94800;9.5265;9031.10
94900;9.5351;9048.80
95000;9.5433;9066.15
95100;9.5520;9083.95
95200;9.5604;9101.50
95300;9.5688;9119.05
95400;9.5774;9136.85
95500;9.5859;9154.55
95600;9.5943;9172.15
95700;9.6027;9189.80
95800;9.6110;9207.35
95900;9.6197;9225.30
96000;9.6282;9243.05
96100;9.6366;9260.75
96200;9.6450;9278.50
96300;9.6534;9296.20
96400;9.6620;9314.15
96500;9.6705;9332.05
96600;9.6791;9350.00
96700;9.6873;9367.60
96800;9.6960;9385.75
96900;9.7041;9403.25
97000;9.7127;9421.30
97100;9.7214;9439.50
97200;9.7298;9457.35
97300;9.7380;9475.05
97400;9.7467;9493.30
97500;9.7551;9511.20
97600;9.7635;9529.20
97700;9.7721;9547.35
97800;9.7806;9565.45
97900;9.7890;9583.45
98000;9.7974;9601.45
98100;9.8058;9619.50
98200;9.8144;9637.75
98300;9.8229;9655.90
98400;9.8313;9674.00
98500;9.8399;9692.30
98600;9.8483;9710.40
98700;9.8567;9728.55
98800;9.8652;9746.80
